gse,titel,zusammenfassung,n_proben,typ,taxon,datum,achse
GSE35533,Analysis of small RNA through the cell cycle in HeLa,This SuperSeries is composed of the SubSeries listed below.,11,Non-coding RNA profiling by array; Non-coding RNA profiling by high throughput sequencing,synthetic construct; Homo sapiens,,MPS
GSE35659,A transcriptional map of the impact of endurance exercise training on skeletal muscle phenotype (resting muscle after endurance training),"The molecular pathways which are activated and contribute to physiological remodeling of skeletal muscle in response to endurance exercise have not been fully characterized. We previously reported that ~800 gene transcripts are regulated following 6 weeks of supervised endurance training in young sedentary males, referred to as the training responsive transcriptome (TRT). Here we utilized this database together with data on biological variation in muscle adaptation to aerobic endurance training in both humans and a novel out-bred rodent model to study the potential regulatory molecules that coordinate this complex network of genes. We identified three DNA sequences representing RUNX1, SOX9, and PAX3 transcription factor binding sites as over-represented in the TRT. In turn, miRNA profiling indicated that several miRNAs targeting RUNX1, SOX9 and PAX3 were down-regulated by endurance training. The TRT was then examined by contrasting subjects who demonstrated the least vs. the greatest improvement in aerobic capacity (low vs. high responders), and at least 100 of the 800 TRT genes were differentially regulated, thus suggesting regulation of these genes may be important for improving aerobic capacity. In high responders, pro-angiogenic and tissue developmental networks emerged as key candidates for coordinating tissue aerobic adaptation. Beyond RNA level validation there were several DNA variants that associated with VO(2)max trainability in the HERITAGE Family Study but these did not pass conservative Bonferroni adjustment. In addition, in a rat model selected across 10 generations for high aerobic training responsiveness, we found that both the TRT and a homologous subset of the human high responder genes were regulated to a greater degree in high responder rodent skeletal muscle. This analysis provides a comprehensive map of the transcriptomic features important for aerobic exercise-induced improvements in maximal oxygen consumption.",24,Expression profiling by array,Homo sapiens,,CCD_CMPD
GSE35781,Noncoding RNA expression in myocardium from infants with tetralogy of Fallot,This SuperSeries is composed of the SubSeries listed below.,54,Non-coding RNA profiling by array; Expression profiling by array,synthetic construct; Homo sapiens,,MPS
GSE35824,Genome-wide DNA methylation study in bladder cancer,"Genome-wide DNA methylation profiles were determined on a set of fresh 44 bladder cancer tissues using normal blood as control. DNA amplicons were prepared using Differential Methylation Hybridization (DMH) method, subsequently hybridized on to the Agilent Human CpG island Microarray. The goal was to unravel the DNA methylation patterns in different subgropus of bladder cancer along with finding markers for progresssion and early diagnosis.",44,Methylation profiling by genome tiling array,Homo sapiens,,FGFR3
GSE35829,Integrative functional genomics identifies an enhancer looping to the SOX9 gene disrupted by the 17q24.3 prostate cancer risk locus,"Genome-wide association studies (GWAS) are identifying genetic predisposition to various diseases. The rs1859962 single nucleotide polymorphism (SNP) part of the 17q24.3 locus is a risk factor for prostate cancer (PCa). It defines a 130kb linkage disequilibrium (LD) block that lies in a ~2Mb gene desert area. Despite a role for the proximal SOX9 gene in PCa development, the functional biology driving the risk of this 17q24.3 risk locus is unknown. In the present study, we integrate genome-wide chromatin landscape datasets, namely epigenomes and chromatin openness from diverse cell-types to identify one PCa specific enhancer within the rs1859962 risk LD block. We reveal that this enhancer is part of a 1Mb chromatin loop with the SOX9 gene in PCa cells. The rs8072254 and rs1859961 SNPs part of this LD block map to this enhancer and impose allele-specific gene expression. The variant allele of rs1859961 directly decreases FoxA1 binding while increasing AP-1 binding compared to the reference allele. This latter is key in driving allele-specific gene expression. Together, our results demonstrate the risk associated with the PCa rs1859962 risk LD block is accounted for by multiple genetic variants mapping to a unique enhancer looping to the SOX9 oncogene. Allele-specific recruitment of the transcription factor AP-1 accounts in part for the increased enhancer activity ascribed to this PCa risk LD block. This further demonstrates that an integrative genomics approach can identify the functional biology disrupted by genetic risk-variants.",3,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE35834,Impact of miRNAs modulation on regulatory networks and pathways involved in colon cancer and metastasis development,"Originally linked with development and differentiation, the role of microRNAs (miRNAs) in  many important biological processes has emerged and dysregulation of miRNA expression has  been connected with cancer pathogenesis. The association between abnormal expression levels of miRNAs and colon cancer has been mainly demonstrated in primary tumors; more recently, non-overlapping sets of oncomirs, tumour suppressor miRNAs and metastamirs have been associated  with distinct stages of colo-rectal cancer (CRC) progression. In an attempt to identify changes in both miRNA and gene expression levels along the colon mucosa - primary tumor - liver metastasis-  sequence and to classify miRNAs into distinct functional networks according to the expression of  their anti-correlated and differentially expressed target genes, we analyzed a large set of sample-matched miRNA and mRNA expression profiles, including the complete non tumor tissue, primary  carcinoma and liver metastasis sequence from 8 patients. Our study shows that the largest changes  in miRNA and gene expression levels occur in normal mucosa to tumor transition and are almost  stably maintained in the subsequent tumor to metastasis transition. Only a few miRNAs were  differentially expressed between liver metastasis and primary carcinoma; however, miRNA  expression profiles classified better primary tumors and metastases compared to mRNA profiles. By  integration of miRNAs and target genes expression data, we were able to infer regulatory networks  modulated by miRNAs during colorectal tumorigenesis and metastatic process, and associate them  to the affected biological pathways. In particular, we identified a combination of interconnected  miRNAs, up- or down-regulated during tumorigenesis, which are organized into distinct sub-networks, each of which includes several regulatory relationships with differentially expressed  genes. Among them, the relationship between miR-182, up-regulated in colon cancer, and the anti-correlated ENTPD5 gene was identified for the first time and confirmed in an independent set of samples.",158,Expression profiling by array; Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE35921,miR-206 integrates multiple components of differentiation pathways to control the transition from growth to differentiation in rhabdomyosarcoma cells,This SuperSeries is composed of the SubSeries listed below.,16,Expression profiling by array; Non-coding RNA profiling by array,Arabidopsis thaliana; Sorghum bicolor; Caenorhabditis briggsae; Caenorhabditis elegans; Anopheles gambiae; Drosophila melanogaster; Drosophila pseudoobscura; Apis mellifera; Xenopus laevis; Xenopus tropicalis; Ateles geoffroyi; Gorilla gorilla; Bos taurus; Mus musculus; Rattus norvegicus; Human gammaherpesvirus 8; Macacine gammaherpesvirus 4; Saguinus labiatus; Tetraodon nigroviridis; Physcomitrium patens; Zea mays; Danio rerio; Macaca mulatta; Pan troglodytes; Pongo pygmaeus; human gammaherpesvirus 4; Gallid alphaherpesvirus 2; Schmidtea mediterranea; Betapolyomavirus macacae; Oryza sativa; Saccharum officinarum; Bombyx mori; Lemur catta; Lagothrix lagotricha; Macaca nemestrina; Homo sapiens; Canis lupus familiaris; Sus scrofa; Human betaherpesvirus 5; Monodelphis domestica; Takifugu rubripes; Populus trichocarpa; Glycine max; Medicago truncatula; Gallus gallus; Pan paniscus; Ovis aries; Murid gammaherpesvirus 4,,CCD_CMPD
GSE35946,"miRNA expression in untreated HCT116, HT-29 and SW480 colon cancer cell lines",miRNA expression in untreated colon cancer cell lines,3,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE36100,"DKK2 Mediates Osteolysis, Invasiveness, and Metastatic Spread in Ewing Sarcoma","Ewing sarcoma, an osteolytic malignancy that mainly affects children and young adults, is characterized by early metastasis to lung and bone. In this study, we identified the pro-metastatic gene DKK2 as a highly overexpressed gene in Ewing sarcoma compared with corresponding normal tissues. Using RNA interference, we showed that DKK2 was critical for malignant cell outgrowth in vitro and in an orthotopic xenograft mouse model in vivo. Analysis of invasion potential in both settings revealed a strong correlation of DKK2 expression to Ewing sarcoma invasiveness that may be mediated by the DKK effector matrix metalloproteinase 1 (MMP1). Furthermore, gene expression analyses established the ability of DKK2 to differentially regulate genes such as CXCR4, PTHrP, RUNX2, and TGFb1 that are associated with homing, invasion, and growth of cancer cells in bone tissue as well as genes important for osteolysis, including HIF1a, JAG1, IL6, and VEGF. DKK2 promoted bone infiltration and osteolysis in vivo and further analyses defined DKK2 as a key factor in osteotropic malignancy. Interestingly, in Ewing sarcoma cells, DKK2 suppression simultaneously increased the potential for neuronal differentiation while decreasing chondrogenic and osteogenic differentiation. Our results provide strong evidence that DKK2 is a key player in Ewing sarcoma invasion and osteolysis and also in the differential phenotype of Ewing sarcoma cells.",6,Expression profiling by array,Homo sapiens,,CCD_CMPD
GSE36146,Successful and failed human liver regeneration are characterized by the coordinated expression of distinct microRNAs,"The liver’s remarkable capacity to regenerate allows it to carry out vital life-supporting functions despite unrelenting pathogen and toxin-induced injury. Unchecked, this capability also leads to cirrhosis, a burgeoning global disease burden. Existing animal models only partially recapitulate human liver regeneration, which hitherto has not been systematically studied. We investigated human liver regeneration in a unique model of liver transplantation. Here we show coordinated changes in expression of microRNA (miRNA) during regeneration that drive proliferation, innate immunity and angiogenesis. Failed regeneration is associated with distinct miRNAs enforcing cell cycle inhibition and DNA methylation. The miRNA expression associated with successful or failed regeneration when recapitulated in vitro, triggered expression of cardinal regeneration-linked genes promoting cell cycle entry or inhibition, respectively. Furthermore, inhibition of three miRNAs whose downregulation is associated with successful regeneration, induced proliferation in vitro. Our data indicate that human liver regeneration is orchestrated by distinct miRNAs determining cell cycle fate. Their manipulation may obviate the need for transplantation by enforcing successful regeneration in the liver and other solid organs.",29,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE36192,North American Brain Expression Consortium and UK Human Brain Expression Database: Gene Expression,"A fundamental challenge in the post-genome era is to understand and annotate the consequences of genetic variation, particularly within the context of human tissues. We describe a set of integrated experiments designed to investigate the effects of common genetic variability on mRNA expression distinct human brain regions. We show that brain tissues may be readily distinguished based on expression profile. We find an abundance of genetic cis regulation mRNA expression. We observe that the largest magnitude effects occur across distinct brain regions. We believe these data, which we have made publicly available, will be useful in understanding the biological effects of genetic variation.  Authorized Access data: Mapping of GEO sample accessions to dbGaP subject/sample IDs is available through dbGaP Authorized Access, see http://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000249",911,Expression profiling by array,Homo sapiens,,MPS
GSE36194,North American Brain Expression Consortium: DNA Methylation,"A fundamental challenge in the post-genome era is to understand and annotate the consequences of genetic variation, particularly within the context of human tissues. We describe a set of integrated experiments designed to investigate the effects of common genetic variability on DNA methylation and mRNA expression distinct human brain regions. We show that brain tissues may be readily distinguished based on methylation status or expression profile. We find an abundance of genetic cis regulation mRNA expression and show for the first time abundant quantitative trait loci for DNA CpG methylation. We observe that the largest magnitude effects occur across distinct brain regions. We believe these data, which we have made publicly available, will be useful in understanding the biological effects of genetic variation.  Authorized Access data: Mapping of GEO sample accessions to dbGaP subject/sample IDs is available through dbGaP Authorized Access, see http://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000249",724,Methylation profiling by array,Homo sapiens,,MPS
GSE36802,microRNA profiling in paired human prostate cancer and benign prostate tissue,To determine the altered microRNA expression signature in human prostate cancer compared to benign prostate tissue. To determine the altered mRNA expression signatures upon overexrpession miR-31 in prostate cancer cells.,42,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE36803,"Paired human prostate cancer and benign prostate tissues, and LNCaP cells treated with miR-31",This SuperSeries is composed of the SubSeries listed below.,46,Expression profiling by array; Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE37205,North American Brain Expression Consortium: Laser capture microdissection of Cerebellar Purkinje Cells,"Previous studies in bulk tissue suggest that there are abundant expression quantitative trait loci (eQTLs) in human brain. This sample series is of cerebellar Purkinje cells isolated using laser capture microdissection from human cases without neurological disease but of known genotypes. These data may be helpful in confirming eQTLs in bulk tissue or in mapping other gene expression traits in an enriched neuronal population.  Authorized Access data: Mapping of GEO sample accessions to dbGaP subject/sample IDs is available through dbGaP Authorized Access, see http://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000249",100,Expression profiling by array,Homo sapiens,,MPS
GSE37237,Extracellular purines promote the differentiation capacity of human bone marrow-derived mesenchymal stem cells,"Extracellular nucleotides are potent signaling molecules mediating cell-specific biological functions. We previously demonstrated that adenosine 5'-triphosphate (ATP) inhibits the proliferation while stimulating the migration, in vitro and in vivo, of human bone marrow-derived mesenchymal stem cells (BM-hMSC). Here, we investigated the effects of ATP on BM-hMSC differentiation capacity. Molecular analysis showed that ATP treatment modulated the expression of several genes (e.g. wnt-pathway-related genes) governing osteoblastic and adipogenic differentiation of MSCs. Functional studies demonstrated that ATP, under specific culture conditions, stimulated adipogenic and osteogenic differentiation by significantly increasing the lipid accumulation and the expression levels of the adipogenic master gene PPARγ (peroxisome proliferator activated receptor-gamma) and by promoting the mineralization and the expression of the osteoblast-related gene RUNX2 (Runt-related transcription factor 2), respectively.",6,Expression profiling by array,Homo sapiens,,CCD_CMPD
GSE37290,Expression Data from HNF1b-knockdown RMG2-ovarian cancer cells,"Ovarian clear cell carcinoma (OCCC) is a morphologically and biologically distinct subtype of ovarian carcinomas. We previously reported a gene expression profile characteristic of OCCC (OCCC signature), which contains hepatocyte nuclear facter-1b ( HNF-1b). To elucidate the biological role of HNF-1b in OCCC, we performed the suppression of the HNF-1b expression in human ovarian cancer cell line RMG2 using short hairpin RNA. We are now evaluating the functional effect using these cells.",20,Expression profiling by array,Homo sapiens,,MPS
GSE37734,miRNA expression data from human cell lines (Panc1 cells),The experiment aims to identify miRNAs that are regulated in response to TRAIL R1 si-RNA and TRAIL R2 si-RNA. The overall aim of the study was to identify mechanisms by which TRAIL death receptors may contribute to malignancy via inhibition of let-7 maturation.,15,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE37914,miRNA expression data from lean PCOS adipose vs BMI matched control women,"Why ~70% of women with polycystic ovary syndrome (PCOS) have intrinsic insulin resistance (IR), above and beyond that associated with body mass, including dysfunctional glucose metabolism in adipose tissue (AT), remains a fundamental question. In these experiments, we sought to explore the role of miRNAs in the AT of PCOS and matched controls. Analysis determined that PCOS AT has a differentially expressed miRNA profile, including upregulated miR-93. We observed a significant association between HOMA-IR, and GLUT4 and miR-93 expression in human AT. Our results point to a novel mechanism for regulating insulin-stimulated glucose uptake via miR-93, and demonstrate upregulated miR-93 expression in PCOS, possibly accounting for the IR of the syndrome, and also in non-PCOS women with IR. We performed miRNA microarrays to determine PCOS-related miRNA expression in adipose derived from lean PCOS patients and matched control women.",6,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE38073,DNA methylation profiling of normal prostates and prostate cancer metastases [Affymetrix],DNA methylation profiling of normal prostates from organ donors and prostate cancer metastases from a rapid autopsy cohort of lethal metastatic prostate cancer,198,Methylation profiling by SNP array,Homo sapiens,,PSACH_MED
GSE38242,DNA methylation alterations exhibit striking intra-individual stability and inter-individual heterogeneity across metastatic dissemination,This SuperSeries is composed of the SubSeries listed below.,249,Methylation profiling by genome tiling array; Expression profiling by array; Methylation profiling by SNP array,Homo sapiens,,PSACH_MED
GSE38264,In vivo disruption of Rb-E2F-Ezh2 signaling loop causes bladder cancer development,"Bladder cancer (BC) is a highly prevalent human disease in which Rb pathway inactivation and epigenetic alterations are common events. However, the connection between these two processes is still poorly understood. Here we show that the in vivo inactivation of all Rb family genes in the mouse urothelium is sufficient to initiate BC development. The characterization of the mouse tumors revealed multiple molecular features of human BC, including the activation of E2F transcription factor and subsequent Ezh2 expression, and the activation of several signaling pathways previously identified as highly relevant in urothelial tumors. Whole transcriptional characterizations of the mouse bladder tumors revealed a significant overlap with human BC samples, and a predominant role for Ezh2 in the downregulation of gene expression programs. Importantly, we determined that in human superficial BC patients, the increased tumor recurrence and progression in these recurrences is associated with increased E2F and Ezh2 expression and Ezh2-mediated gene expression repression. Collectively, our studies provide a genetically defined model for human high-grade superficial BC and demonstrate the existence of an Rb-E2F-Ezh2 axis in bladder whose disruption can promote tumor development.",51,Expression profiling by array,Homo sapiens; Mus musculus,,FGFR3
GSE38385,MicroRNA (miRNA) expression profiling of blood leukocytes of Parkinson's disease (PD) patients pre- and post-deep brain stimulation treatment and of healthy control volunteers,"Parkinson's disease (PD) is a prevalent, multifaceted neurodegenerative disease caused by mostly unknown factors. MicroRNAs (miRNAs) are small (~21 nucleotides long) RNAs that regulate up to hundreds of target genes. To study the role of miRNAs in PD and following surgical brain electrical stimulation treatment response, the expression profiling of miRNAs in peripheral blood leukocyte cells of PD patients pre- deep brain stimulation (DBS) and post-DBS both on electrical stimulation, and following a short one-hour electrical stimulation cessation, as well as of healthy control volunteers, were examined.",13,Non-coding RNA profiling by array,Homo sapiens; synthetic construct,,MPS
GSE38615,"Expression data from primary tissue, human oral mucosa (miRNA data)","The experiment aims to identify regulatory miRNA networks influencing mRNA profiles in oral lichen planus (OLP). RNA and miRNA were extracted simultaniously using miRVana (Ambion, Life Technologies). Sample and array processing was carried out according to the manufacturer's guidelines. Affymetrix raw data was processed using AGCC Expression Console 1.1 (Affymetrix), employing RMA normalization. Linking miRNA and mRNA was performed with a correlation analysis, while a false discovery rate was used to exclude false-positive correlations between miRNAs and their predicted targets.",14,Non-coding RNA profiling by array,Homo sapiens; synthetic construct,,MPS
GSE38617,"Expression data from primary tissue, human oral mucosa",This SuperSeries is composed of the SubSeries listed below.,28,Non-coding RNA profiling by array; Expression profiling by array,Homo sapiens; synthetic construct,,MPS
GSE39015,Stability of miRNA in FFPE tumour samples exhibiting degraded mRNA [Cervix samples miRNA],"Background: As degradation of formalin-fixed paraffin-embedded (FFPE) samples limits ability to expression profile, we explored factors predicting success for FFPE profiling and investigated an approach overcoming this limitation.  Methods: Bladder (n=141, stored 3-8 years) and cervix (n=160, stored 8-23 years) carcinoma FFPE samples were hybridised to Affymetrix Exon1.0ST arrays. Percent detection above background (%DABG) measured technical success. Biological signal was assessed by distinguishing cervix squamous cell carcinoma (SCC) and adenocarcinoma (AC) using a gene signature. Precursor mir-205 was measured by Exon array and mature miR-205 by qRT-PCR. Eight-old and -young cervix samples were compared using Affymetrix miRNA 2.0 arrays. For comparison, the 'cervix_tumour_cs1_113' (previsously submitted GSM677307) was included and re-analyzed with the samples from the current study (total 161 Cervix samples).  Results: RNA quality controls (e.g. RNA integrity number) failed to predict profiling success, but sample age correlated with %DABG in bladder (R2=-0.30, p<0.01) and cervix (R2=-0.69, p<0.01). Biological signal was lost in older samples and neither a signature nor precursor mir-205 separated samples by histology. miR-205 qRT-PCR discriminated SCC from AC, validated by miRNA profiling (26-fold higher in SCC; p=1.10x10-5). Median miRNA probeset expression of eight-old and eight-young cervix samples correlated well (R2=0.95) overcoming the age-related bias of mRNA probesets, suggesting miR-205 stability generalises across microRNA.  Conclusions: microRNA profiling overcomes the limitation of degraded FFPE samples",18,Non-coding RNA profiling by array,Homo sapiens; synthetic construct,,MPS
GSE39060,Changes in microRNA and mRNA expression with differentiation of human bronchial epithelial cells [miRNA],"Normal human bronchial epithelial (NHBE) cells cultured in an air-liquid interface (ALI) system form a polarized, pseudostratified epithelium composed of basal, ciliated and goblet cells that closely resemble the in vivo airway epithelium structure. ALI cultures of NHBE cells provide a unique in vitro system to investigate airway epithelial biology, including developmental, structural and physiologic aspects. MicroRNAs (miRNAs) are short, single-stranded, non-coding RNAs of 20-23 nucleotides that down-regulate gene expression by either inducing degradation of target mRNAs or impairing their translation. They are phylogenetically well conserved, which probably implies an important role of miRNAs in biological processes. In this way, we wanted to shed some light on miRNA specific roles and the relationship with their mRNA targets during airway epithelium differentiation. By using microarrays, we studied the changes in expression of microRNAs in normal human bronchial epithelial cells as they differentiate from an undifferentiated monolayer to a differentiated pseudostratified epithelium after 28 days of air-liquid interface (ALI) culture, when epithelial cells differentially express basal, ciliated and goblet cell markers.",9,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE39061,Changes in microRNA and mRNA expression with differentiation of human bronchial epithelial cells,This SuperSeries is composed of the SubSeries listed below.,18,Expression profiling by array; Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE39067,Stability of miRNA in FFPE tumour samples exhibiting degraded mRNA,This SuperSeries is composed of the SubSeries listed below.,336,Expression profiling by array; Non-coding RNA profiling by array,Homo sapiens; synthetic construct,,MPS
GSE39093,Expression data from bladder tumors and adjacent normal tissues,"miRNAs are involved in cancer development and progression,acting as tumor suppressors or oncogenes. Half of the human miRNAs are located in cancer-associated genomic regions and can function as tumor suppressor genes or oncogenes depending on their targets miRNA profiling was performed on paired bladder cancer tissues and differentially expressed miRNAs were identified in BC and adjacent noncancerous tissues of any disease stage/grade.",20,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE3930,Dermatofibrosarcoma protuberans,"Dermatofibrosarcoma protuberans (DFSP) is an aggressive spindle cell neoplasm. It is associated with the chromosomal translocation, t(17:22), which fuses the COL1A1 and PDGFbeta genes. We determined the characteristic gene expression profile of DFSP and characterized DNA copy number changes in DFSP by array-based comparative genomic hybridization (array CGH). Fresh frozen and formalin-fixed, paraffin-embedded samples of DFSP were analyzed by array CGH (four cases) and DNA microarray analysis of global gene expression (nine cases). The nine DFSPs were readily distinguished from 27 other diverse soft tissue tumors based on their gene expression patterns. Genes characteristically expressed in the DFSPs included PDGFbeta and its receptor, PDGFRB, APOD, MEOX1, PLA2R, and PRKCA. Array CGH of DNA extracted either from frozen tumor samples or from paraffin blocks yielded equivalent results. Large areas of chromosomes 17q and 22q, bounded by COL1A1 and PDGFbeta, respectively, were amplified in DFSP. Expression of genes in the amplified regions was significantly elevated. Our data shows that: 1) DFSP has a distinctive gene expression profile; 2) array CGH can be applied successfully to frozen or formalin-fixed, paraffin-embedded tumor samples; 3) a characteristic amplification of sequences from chromosomes 17q and 22q, demarcated by the COL1A1 and PDGFbeta genes, respectively, was associated with elevated expression of the amplified genes. A disease state experiment design type is where the state of some disease such as infection, pathology, syndrome, etc is studied. Keywords: disease_state_design",53,Expression profiling by array; Genome variation profiling by array,Homo sapiens,,OI
GSE39341,"microRNA expression data from human corneal epithelial cells exposed to media, human tear, media + P. aeruginosa antigens, tear + P. aeruginosa antigens",Exposure to tear fluid can enhance corneal epithelial cells' ability to resist bacterial virulence mechanisms by upregulating epithelial-derived innate defense genes. The aim of this study was to further elucidate the mechanisms by which tear fluid modulates epithelial cell susceptibility to P. aeruginosa internalization and the relationship to known to be upregulated genes with tear fluid exposure. The hypothesis tested was that tear fluid effects on epithelial cells involve the induction of microRNA expression to modify innate defense gene responses to bacterial challenge.,4,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE39691,Expression data from a triple-negative BRCA1-mutated ortho-xenograft treated with sirolimus,"Inhibitors of the mechanistic target of rapamycin (mTOR) are currently used to treat advanced metastatic breast cancer. However, whether an aggressive phenotype is sustained through adaptation or resistance to mTOR inhibition remains unknown. Here, complementary studies in human tumors, cancer models and cell lines reveal transcriptional reprogramming that supports metastasis in response to mTOR inhibition. This cancer feature is driven by EVI1 and SOX9. EVI1 functionally cooperates with and positively regulates SOX9, and promotes the transcriptional upregulation of key mTOR pathway components (REHB and RAPTOR) and of lung metastasis mediators (FSCN1 and SPARC). The expression of EVI1 and SOX9 is associated with stem cell-like and metastasis signatures, and their depletion impairs the metastatic potential of breast cancer cells. These results establish the mechanistic link between resistance to mTOR inhibition and cancer metastatic potential, thus enhancing our understanding of mTOR targeting failure. ",4,Expression profiling by array,Homo sapiens,,CCD_CMPD
GSE39693,Expression data from MCF7 and HCC1937 cells long-term treated with everolimus,"Inhibitors of the mechanistic target of rapamycin (mTOR) are currently used to treat advanced metastatic breast cancer. However, whether an aggressive phenotype is sustained through adaptation or resistance to mTOR inhibition remains unknown. Here, complementary studies in human tumors, cancer models and cell lines reveal transcriptional reprogramming that supports metastasis in response to mTOR inhibition. This cancer feature is driven by EVI1 and SOX9. EVI1 functionally cooperates with and positively regulates SOX9, and promotes the transcriptional upregulation of key mTOR pathway components (REHB and RAPTOR) and of lung metastasis mediators (FSCN1 and SPARC). The expression of EVI1 and SOX9 is associated with stem cell-like and metastasis signatures, and their depletion impairs the metastatic potential of breast cancer cells. These results establish the mechanistic link between resistance to mTOR inhibition and cancer metastatic potential, thus enhancing our understanding of mTOR targeting failure.",4,Expression profiling by array,Homo sapiens,,CCD_CMPD
GSE39845,Tissue and blood microRNA array profiles of colorectal cancer patients,"microRNAs (miRNAs) are short, non-coding RNA molecules that act as regulators of gene expression. Circulating blood miRNAs offer great potential as cancer biomarkers. The objective of the study was to correlate the differential expression of miRNAs in tissue and blood in the identification of biomarkers for early detection of colorectal cancer (CRC).",26,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE40056,A systematic evaluation of miRNA: mRNA interactions involved in the migration and invasion of breast cancer cells [miRNA Array],"In this study we performed a systematic evaluation of functional miRNA-mRNA interactions associated with the aggressiveness of breast cancer cells using a combination of integrated miRNA and mRNA expression profiling, bioinformatics prediction, and functional assays. Analysis of the miRNA expression identified 11 miRNAs that were differentially expressed, including 7 down-regulated (miR-200c, miR-205, miR-203, miR-141, miR-34a, miR-183, and miR-375) and 4 up-regulated miRNAs (miR-146a, miR-138, miR-125b1 and miR-100), in aggressive cell lines when compared to normal and less aggressive cell lines. Transient overexpression of miR-200c, miR-205, and miR-375 in MDA-MB-231 cells led to the inhibition of cell migration and invasion. The integrated analysis of miRNA and mRNA expression identified 35 known and novel target genes of miR-200c, miR-205, and mir-375, including CFL2, LAMC1, TIMP2, ZEB1, CDH11, PRKCA, PTPRJ, PTPRM, LDHB, and SEC23A. Surprisingly, the majority of these genes (27 genes) were target genes of miR-200c, suggesting that it plays a more important role in regulating the aggressiveness of breast cancer cells. We characterized one of the target genes of miR-200c, CFL2, and demonstrated that CFL2 is overexpressed in aggressive breast cancer cell lines and can be significantly down-regulated by exogenous miR-200c. Tissue microarray analysis further revealed that CFL2 expression in primary breast cancer tissue correlated with tumor grade. To our knowledge, this study is the first systematic screening of functional miRNA target genes in aggressive breast cancer cells. The results obtained from this study may improve our understanding of the role of these candidate miRNAs and their target genes in relation to breast cancer aggressiveness and ultimately lead to the identification of novel biomarkers associated with prognosis.",12,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE40059,A systematic evaluation of miRNA: mRNA interactions involved in the migration and invasion of breast cancer cells,This SuperSeries is composed of the SubSeries listed below.,28,Non-coding RNA profiling by array; Expression profiling by array,synthetic construct; Homo sapiens,,MPS
GSE40113,Distinct Micro-RNA profiles are associated with severity of hepatitis C virus recurrence and acute cellular rejection after liver transplant,"Recurrent hepatitis C virus (rHCV) is universal post-liver transplantation (LT), with accelerated fibrosis rates compared to non-transplanted patients. rHCV is associated with increased mortality and morbidity post-transplant and is a leading indication for re-transplantation. We hypothesized that miRNA expression profiles from liver grafts can distinguish severity of HCV recurrence and differentiate this from acute cellular rejection (ACR).    Methods  Using microarrays, we characterized global microRNA (miRNA) expression from patients with slow HCV fibrosis progression (F<2 Ishak), fast HCV fibrosis progression (F≥2 Ishak), ACR and non-HCV transplanted patients. Selected miRNA were analysed by quantitative PCR (qPCR) using both liver tissue and serum samples.    Results  We demonstrated changes in miRNA expression in patients with slow HCV fibrosis progression that were anti-fibrogenic, anti-angiogenic and anti-inflammatory in comparison to patients with fast HCV fibrosis progression. miRNA-146a, miRNA-19a, miRNA- 20a and miRNA-let-7e expression were increased in the slow HCV fibrosis progression group. In addition, comparison of patients with fast HCV progression against patients with ACR identified pro-fibrogenic pathways.  qPCR analysis on liver tissue and serum confirmed the up-regulation of miRNAs in the slow HCV fibrosis progression group.    Conclusion  We demonstrate specific miRNA expression signatures that distinguish rate of progression of HCV recurrence and ACR post –liver transplantation. Pathway analysis indicates that specific miRNA may play a regulatory role in these processes. The miRNAs identified may act as potential biomarkers for HCV recurrence post-LT and help distinguish between ACR and recurrent HCV.",29,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE40128,Deregulation of miRNAs in Infant Outflow Tract Myocardium of Non-syndromic Tetralogy of Fallot,Tetralogy of Fallot (TOF) is one of the most common heart defects in children and the underlying mechanisms remain elusive. miRNAs are a recently discovered class of regulators of gene expression and are becoming increasingly recognized as important regulators of heart development and function. The objective of the present study was to identify miRNAs that are abnormally expressed in clinical infant outflow tract myocardium tissues of TOFs.,8,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
